task,h,hyp,asset,Wc_mean,Wc_std,cond_delta_mean,cond_delta_std,n
RET_h1,1,H1 divergence→returns (−),BTCUSDT,0.0120372821460478,0.006982772288272038,0.0003548682055284002,0.00029208029051770316,45
RET_h1,1,H1 divergence→returns (−),ETHUSDT,0.009365245021439882,0.006849028659904879,0.000532756941771899,0.0005696676756308994,45
RET_h1,1,H1 divergence→returns (−),SOLUSDT,-0.00507243500970718,0.010438656469993738,-8.360653486818097e-05,0.0005176158146510335,45
RET_h12,12,H1 divergence→returns (−),BTCUSDT,0.005904288755522834,0.003197624633064411,-0.0002704571287759263,0.00025489115800423864,45
RET_h12,12,H1 divergence→returns (−),ETHUSDT,0.007817286149495178,0.002457234833891712,0.0009198969702225785,0.00027875780078099173,45
RET_h12,12,H1 divergence→returns (−),SOLUSDT,-0.005776940290686778,0.002090030203044052,-0.00016511158826506387,0.0007462032802531024,45
RET_h24,24,H1 divergence→returns (−),BTCUSDT,0.0016469893970578495,0.005777096391082217,-9.545782382813239e-05,0.00029002804771594844,45
RET_h24,24,H1 divergence→returns (−),ETHUSDT,-0.004433179340170076,0.004613623430403154,0.00018756793651845304,0.000549734347244826,45
RET_h24,24,H1 divergence→returns (−),SOLUSDT,0.0004297541564382199,0.005702057864222233,6.85384281139191e-05,0.0003080417598742441,45
RET_h4,4,H1 divergence→returns (−),BTCUSDT,0.012150451632785714,0.00729942625937486,0.0002133871597211766,0.00036195955120567954,45
RET_h4,4,H1 divergence→returns (−),ETHUSDT,-0.004507751486057208,0.006711452103402399,0.00032518146574337395,0.000718610124709003,45
RET_h4,4,H1 divergence→returns (−),SOLUSDT,-0.0005278722292536663,0.012607524682635173,0.0005237320818737511,0.0006550846991064646,45
