task,h,hyp,asset,Wc_mean,Wc_std,cond_delta_mean,cond_delta_std,n
VOL_h1,1,H4a funding→volatility (+),BTCUSDT,-0.009650748461070988,0.01567167123474318,0.001064560724674742,0.0015970036192060712,45
VOL_h1,1,H4a funding→volatility (+),ETHUSDT,-0.026153959509813123,0.0352864704227644,0.0014959954799227536,0.0010804858656647538,45
VOL_h1,1,H4a funding→volatility (+),SOLUSDT,-0.0001230592609822957,0.0105907915006874,0.0035775763882045053,0.002558384917444411,45
VOL_h12,12,H4a funding→volatility (+),BTCUSDT,0.0032828591608752805,0.0356801474923172,0.0012337728012984334,0.001722594110835479,45
VOL_h12,12,H4a funding→volatility (+),ETHUSDT,-0.0387698700858487,0.0475276293289834,0.0014918180428670383,0.0010783939724591512,45
VOL_h12,12,H4a funding→volatility (+),SOLUSDT,-0.004022918131926821,0.03650386499758987,0.004663818422821046,0.003281524006196722,45
VOL_h24,24,H4a funding→volatility (+),BTCUSDT,0.02264930884120986,0.05021255235280873,0.0009352008305244169,0.0012783498352039186,45
VOL_h24,24,H4a funding→volatility (+),ETHUSDT,-0.04149910213632716,0.06508946583903728,0.001284711713954927,0.0011488575958972338,45
VOL_h24,24,H4a funding→volatility (+),SOLUSDT,-0.014344875555899408,0.060251218301453434,0.00470476028877267,0.0034151569968770617,45
VOL_h4,4,H4a funding→volatility (+),BTCUSDT,-0.006523333130300873,0.022971275870669397,0.0011491309107798248,0.001688412398419557,45
VOL_h4,4,H4a funding→volatility (+),ETHUSDT,-0.0265906668578585,0.03688419690916351,0.001487118905658471,0.0010469529626733261,45
VOL_h4,4,H4a funding→volatility (+),SOLUSDT,-0.0021039045532234013,0.019569746956462644,0.003889279403165735,0.0026867409025986854,45
