task,h,model,MSE_mean,MSE_std,MAE_mean,MAE_std,SignHit_mean,SignHit_std,n
RET_h1,1,VARX-LASSO,5.494302317804695e-05,3.7648384780294047e-06,0.004634609812240431,0.0003841484807598478,0.5070886405522081,0.0048293026221914274,45
RET_h1,1,StaticGVAR,5.502608045288879e-05,3.7909754106872636e-06,0.004641991977890333,0.00038327703535662383,0.5012258058162694,0.004698076855270465,45
RET_h1,1,NeuralGVAR,5.527532201894145e-05,3.801335564257696e-06,0.004654471534821722,0.0003817503175977246,0.5015415200955804,0.0024437620363916596,45
RET_h1,1,LSTM,5.602743767667562e-05,4.104511206119457e-06,0.004731807919840018,0.0004179273192427293,0.49978859403328996,0.006421531008225743,45
RET_h1,1,Last,0.00011071192546056217,8.729519383845572e-06,0.006848064885722585,0.0005341549385510348,0.48168306858269266,0.002747459781585171,45
RET_h12,12,VARX-LASSO,5.492274603766426e-05,3.767940593145292e-06,0.004637356971458076,0.0003838573752410172,0.5021318122597728,0.003462204298069326,45
RET_h12,12,StaticGVAR,5.508430234234159e-05,3.8006888315613513e-06,0.00464744053574072,0.0003837112521807441,0.49704682328915717,0.00458596522477256,45
RET_h12,12,NeuralGVAR,5.515892868667531e-05,3.786830343603854e-06,0.004654661007225514,0.00038363220517526015,0.4988076495478267,0.004003685165731998,45
RET_h12,12,LSTM,5.603390939844151e-05,3.88593031562824e-06,0.004733871482312679,0.00036498729868618374,0.5005702014962434,0.004603778333654961,45
RET_h12,12,Last,0.00011177334817860601,7.458784173934852e-06,0.006878943383204252,0.000521119130443166,0.4957044652955195,0.0030070764738448206,45
RET_h24,24,VARX-LASSO,5.4972259358638287e-05,3.760937520279129e-06,0.004640327260207139,0.00037885638655380807,0.4887739745078248,0.012594219476430102,45
RET_h24,24,StaticGVAR,5.503405789366096e-05,3.741366040306165e-06,0.004645254090428352,0.00037658696104042865,0.49708482828944517,0.004182717642305434,45
RET_h24,24,NeuralGVAR,5.522255548081982e-05,3.7444798142603095e-06,0.00465556506274475,0.00037649116242724777,0.4980864603458537,0.0031292640625345315,45
RET_h24,24,LSTM,5.6005722338644164e-05,3.866599928450867e-06,0.004708792082965374,0.0003774950398123374,0.4999131015981696,0.004449926491519148,45
RET_h24,24,Last,0.00010903403110034298,6.797060742736215e-06,0.006813526443916588,0.0005255625043680394,0.5065635298543166,0.008308905619232955,45
RET_h4,4,VARX-LASSO,5.4901848370315576e-05,3.809177490700947e-06,0.004634923038961611,0.0003850184121067757,0.501736339514747,0.0022321524788189886,45
RET_h4,4,StaticGVAR,5.499949450798643e-05,3.834979601191315e-06,0.004641257019506561,0.00038466153591347956,0.5009618636429581,0.003242700765342913,45
RET_h4,4,NeuralGVAR,5.518055501549194e-05,3.7825142115803414e-06,0.0046533750784065984,0.0003820506628213642,0.5001614277431051,0.002617656207849094,45
RET_h4,4,LSTM,5.6476232324106e-05,3.939087599559412e-06,0.004752088151872158,0.00037532312445787754,0.5001356819374961,0.006362619223146357,45
RET_h4,4,Last,0.00010979005705569305,7.94018169566077e-06,0.0068640327852345,0.0005272871283411321,0.49173498138573823,0.0016819012848380147,45
VOL_h1,1,VARX-LASSO,7.26636568192372e-07,8.688152706599653e-08,0.0004538922465768861,2.1592262090422745e-05,1.0,0.0,45
VOL_h1,1,StaticGVAR,7.680757650834696e-07,1.120182769438642e-07,0.00045699109387997954,1.9017940815228035e-05,1.0,0.0,45
VOL_h1,1,NeuralGVAR,7.738412743189352e-07,1.1563327397617893e-07,0.00045616434848246473,2.0914926936743575e-05,0.9999391171993911,0.00012314152739054828,45
VOL_h1,1,LSTM,3.7709809930674966e-06,1.347079513921918e-06,0.0014007367116088667,0.00028626708039024393,0.9999644123911666,4.952024685245737e-05,45
VOL_h1,1,Last,6.95513590954538e-07,7.694587953577669e-08,0.00037580684801644733,1.086933651374293e-05,1.0,0.0,45
VOL_h12,12,VARX-LASSO,5.216912143144e-06,4.463378769625138e-07,0.0015902629919907747,7.932666771671098e-05,1.0,0.0,45
VOL_h12,12,StaticGVAR,5.128998650939644e-06,4.4068160315340846e-07,0.0015456273116999202,5.1143989468036126e-05,1.0,0.0,45
VOL_h12,12,NeuralGVAR,5.320602405036981e-06,5.544902980427333e-07,0.0015810892063503465,9.055735164400438e-05,0.999863859293083,0.0002490585286900985,45
VOL_h12,12,LSTM,8.317574217168536e-06,1.4372188914531205e-06,0.0021062443498522042,0.00026004173941397533,0.9999696348418183,7.034621373893697e-05,45
VOL_h12,12,Last,1.1951550137804177e-05,3.3235335153908535e-07,0.0024023784886241244,5.4869849718107053e-05,1.0,0.0,45
VOL_h24,24,VARX-LASSO,9.980700679391575e-06,6.54738356796009e-07,0.002329412411643873,0.00013633915715202568,1.0,0.0,45
VOL_h24,24,StaticGVAR,9.809325274545699e-06,5.03664107290694e-07,0.0022832930243263643,8.061886791463214e-05,1.0,0.0,45
VOL_h24,24,NeuralGVAR,1.0195871598423562e-05,7.622731044813841e-07,0.0023162931048621733,0.00014113663223911917,0.9996203280906477,0.0006896949007390433,45
VOL_h24,24,LSTM,1.1996070982907743e-05,1.74342240719579e-06,0.002613197484364112,0.00030751735203022235,1.0,0.0,45
